FeatureSet,Algorithm,Params,ARI,Accuracy
PCA2D,GaussianMixture,{'n_components': 5},0.12552077204700277,0.5
PCA2D,GaussianMixture,{'n_components': 6},0.13450443120936095,0.4742489270386266
PCA3D,KMeans,{'n_clusters': 2},0.1266901424213958,0.5364806866952789
PCA3D,KMeans,{'n_clusters': 3},0.20300987595889924,0.5901287553648069
PCA3D,KMeans,{'n_clusters': 4},0.15773112371656728,0.5150214592274678
PCA3D,KMeans,{'n_clusters': 5},0.16076165602382986,0.4871244635193133
PCA3D,KMeans,{'n_clusters': 6},0.12452482131169818,0.37553648068669526
PCA3D,Agglomerative,"{'n_clusters': 2, 'linkage': 'ward'}",0.0939364673011421,0.5107296137339056
PCA3D,Agglomerative,"{'n_clusters': 2, 'linkage': 'complete'}",0.05789916007330544,0.4871244635193133
PCA3D,Agglomerative,"{'n_clusters': 3, 'linkage': 'ward'}",0.15408861186066078,0.5643776824034334
PCA3D,Agglomerative,"{'n_clusters': 3, 'linkage': 'complete'}",0.15233397533364154,0.5364806866952789
PCA3D,Agglomerative,"{'n_clusters': 4, 'linkage': 'ward'}",0.17648534084141543,0.5472103004291845
PCA3D,Agglomerative,"{'n_clusters': 4, 'linkage': 'complete'}",0.1174012879300446,0.48497854077253216
PCA3D,Agglomerative,"{'n_clusters': 5, 'linkage': 'ward'}",0.14075380699254428,0.463519313304721
PCA3D,Agglomerative,"{'n_clusters': 5, 'linkage': 'complete'}",0.12029409476987234,0.48283261802575106
PCA3D,Agglomerative,"{'n_clusters': 6, 'linkage': 'ward'}",0.12417664974537104,0.41201716738197425
PCA3D,Agglomerative,"{'n_clusters': 6, 'linkage': 'complete'}",0.11721007569586372,0.4656652360515021
PCA3D,DBSCAN,"{'eps': 0.5, 'min_samples': 5}",0.0875126075420379,0.47854077253218885
PCA3D,DBSCAN,"{'eps': 1.0, 'min_samples': 5}",0.09634061265681429,0.4892703862660944
PCA3D,DBSCAN,"{'eps': 1.5, 'min_samples': 5}",0.10441964159121293,0.44635193133047213
PCA3D,GaussianMixture,{'n_components': 2},0.11319258909604446,0.5300429184549357
PCA3D,GaussianMixture,{'n_components': 3},0.20620035317911187,0.592274678111588
PCA3D,GaussianMixture,{'n_components': 4},0.09869905727008418,0.5128755364806867
PCA3D,GaussianMixture,{'n_components': 5},0.13903545129958805,0.47639484978540775
PCA3D,GaussianMixture,{'n_components': 6},0.13509394878188322,0.45493562231759654
